Date Time (ET),D.O. Before Hurricane Irene (2011) (% saturation),D.O. After Hurricane Irene (2012) (% saturation),D.O. After Hurricane Irene (2016) (% saturation)
7/30 0:00,89.4,80.7,85.6
7/30 0:15,89.3,80.5,85.2
7/30 0:30,89.2,80.3,84.8
7/30 0:45,88.6,80.1,84.1
7/30 1:00,88.2,80.4,84.4
7/30 1:15,86.9,80.1,83.7
7/30 1:30,85.7,80.1,83.7
7/30 1:45,87.3,80,82.7
7/30 2:00,86.7,79.7,82.8
7/30 2:15,87.5,79.9,82.5
7/30 2:30,88.2,79.9,82.3
7/30 2:45,89.6,79.9,83.2
7/30 3:00,88.3,79.7,83.4
7/30 3:15,87,79.9,82.6
7/30 3:30,86.7,79.8,83.2
7/30 3:45,86.7,79.7,82.9
7/30 4:00,86,79.6,81.3
7/30 4:15,85.7,80,81.5
7/30 4:30,84.7,79.9,80.6
7/30 4:45,86.3,79.8,79.1
7/30 5:00,86.7,79.9,82.2
7/30 5:15,86.5,79.2,83.2
7/30 5:30,86.7,78.9,79.2
7/30 5:45,86.9,78,78.5
7/30 6:00,85.8,79.9,83.8
7/30 6:15,87,80.4,84.4
7/30 6:30,87,79.3,85.9
7/30 6:45,85.3,78.6,84.4
7/30 7:00,85.4,78.8,85.5
7/30 7:15,85.5,79.7,87
7/30 7:30,87.1,79.5,87.7
7/30 7:45,86.8,80.8,87.8
7/30 8:00,86.6,80.5,88.3
7/30 8:15,83.2,81.3,88
7/30 8:30,87.3,80.7,87.7
7/30 8:45,89.9,80.7,87.3
7/30 9:00,91.4,80.7,87.1
7/30 9:15,91.5,80.7,86.9
7/30 9:30,92.9,80.8,87
7/30 9:45,94.1,80.8,87.6
7/30 10:00,93.9,80.4,87.5
7/30 10:15,94.4,80.6,87.9
7/30 10:30,95.4,80.6,87.9
7/30 10:45,96.6,80.9,86.9
7/30 11:00,95.5,80.9,81.5
7/30 11:15,97.3,80.9,73.4
7/30 11:30,96,81,91.7
7/30 11:45,95.5,81.1,92
7/30 12:00,95.6,81.2,93.5
7/30 12:15,94.4,82.3,93.7
7/30 12:30,95,82.6,94.7
7/30 12:45,93.1,82.8,92.8
7/30 13:00,94,82.6,94.4
7/30 13:15,91.2,84.6,90.1
7/30 13:30,90.8,85.8,92.7
7/30 13:45,90.6,85.8,88.5
7/30 14:00,88.2,85.3,85.4
7/30 14:15,88.7,86,92.8
7/30 14:30,98.3,86.8,86.3
7/30 14:45,101.8,87.2,86.1
7/30 15:00,103,86.6,85.3
7/30 15:15,103.4,85.8,86.2
7/30 15:30,101.3,82.7,85.7
7/30 15:45,98.2,84.3,86.6
7/30 16:00,96.3,83.6,88.7
7/30 16:15,94.6,83.2,88.9
7/30 16:30,90.4,83.3,89.7
7/30 16:45,91,84.3,90.5
7/30 17:00,89.5,84,86
7/30 17:15,90.7,81.6,88.1
7/30 17:30,89.1,82.4,90.8
7/30 17:45,90.1,83.6,91.3
7/30 18:00,89.6,82.2,91.6
7/30 18:15,89.8,85.8,91.7
7/30 18:30,89.3,84.3,91.7
7/30 18:45,92.4,82.3,92.1
7/30 19:00,90.7,82.1,91.8
7/30 19:15,91.2,84,91.6
7/30 19:30,91.7,85.8,90.9
7/30 19:45,91.3,84.7,89.4
7/30 20:00,92.4,85.3,89.4
7/30 20:15,93,83.7,89.2
7/30 20:30,93.7,82.9,88.6
7/30 20:45,93.9,82.4,88.5
7/30 21:00,96.7,82.2,88.4
7/30 21:15,96.7,82.5,88.1
7/30 21:30,96.4,82,86.7
7/30 21:45,96.2,81.7,86.8
7/30 22:00,96,81.8,86.2
7/30 22:15,94.6,81.6,85.9
7/30 22:30,92.6,81.6,85.7
7/30 22:45,93,81.6,85.7
7/30 23:00,92.5,81.5,85.1
7/30 23:15,92.1,81.5,84.5
7/30 23:30,91.6,81.9,80.8
7/30 23:45,91.7,81.8,78.3
7/31 0:00,91.2,81,84.3
7/31 0:15,90.7,81,84.8
7/31 0:30,90.1,80.7,85.2
7/31 0:45,90.9,81.2,85
7/31 1:00,90.4,80.8,85
7/31 1:15,89.6,80.8,85
7/31 1:30,90.2,80.9,84.8
7/31 1:45,90.5,81.1,84.5
7/31 2:00,90,80.7,84.5
7/31 2:15,88.3,80.5,84.3
7/31 2:30,88,80.5,84.1
7/31 2:45,89.1,80.6,84.2
7/31 3:00,90.1,80.7,83.8
7/31 3:15,90.2,80.5,84.7
7/31 3:30,90.4,80.5,84.4
7/31 3:45,89.8,80.4,85.6
7/31 4:00,90.3,80.3,85.1
7/31 4:15,88.9,80.5,84.9
7/31 4:30,89.1,80.5,84.7
7/31 4:45,89.4,80.4,84
7/31 5:00,89,80.9,84.8
7/31 5:15,88.5,80.5,83.7
7/31 5:30,88.3,80.3,83.3
7/31 5:45,88.6,80.4,85.1
7/31 6:00,88.8,78.2,84.6
7/31 6:15,88.4,79.3,83.2
7/31 6:30,88.6,79.8,72.2
7/31 6:45,87.6,79.9,85
7/31 7:00,88.1,81.8,87.2
7/31 7:15,88.7,80.5,87.9
7/31 7:30,88.9,80.4,88.2
7/31 7:45,89.2,79.9,88
7/31 8:00,89.7,80.1,88.1
7/31 8:15,90.1,81,88.3
7/31 8:30,89.7,82.1,88.4
7/31 8:45,90.7,81.9,88.3
7/31 9:00,87.2,82.4,88.4
7/31 9:15,90.7,82.3,87.7
7/31 9:30,93.1,83.1,87.2
7/31 9:45,93.3,82.9,86.8
7/31 10:00,96,83.1,86.7
7/31 10:15,94.8,82.8,86.5
7/31 10:30,96.3,82.7,86.8
7/31 10:45,96.4,82.7,86.9
7/31 11:00,98.2,82.6,87.3
7/31 11:15,97.1,82.5,86.5
7/31 11:30,97.1,82.8,81.7
7/31 11:45,97.6,82.9,87.9
7/31 12:00,98.2,82.9,80
7/31 12:15,97.4,83,85.7
7/31 12:30,97.8,82.6,86.3
7/31 12:45,96.1,83,85.1
7/31 13:00,96.7,82.7,85.3
7/31 13:15,94.9,85.7,86.1
7/31 13:30,97.1,82.3,86.3
7/31 13:45,94,83.8,86.8
7/31 14:00,95.6,86.3,86.5
7/31 14:15,93.5,85.6,86.6
7/31 14:30,90.2,85.2,86.4
7/31 14:45,89.3,85.3,86.5
7/31 15:00,99,84.9,86
7/31 15:15,96.7,85.1,86.3
7/31 15:30,97.4,84.5,86.1
7/31 15:45,101.3,83.8,87.4
7/31 16:00,104.5,82.7,86.8
7/31 16:15,102.9,83.5,86.8
7/31 16:30,101.7,83.3,87.1
7/31 16:45,100,85.3,87.3
7/31 17:00,96.3,84.7,87
7/31 17:15,94.7,83.9,87
7/31 17:30,93.8,85.3,87.1
7/31 17:45,91.8,83.7,86.2
7/31 18:00,92.3,83.6,87.5
7/31 18:15,92.3,84.2,87.2
7/31 18:30,93.5,83.3,85.4
7/31 18:45,93.1,82.8,88.5
7/31 19:00,93.7,80,88.8
7/31 19:15,92.4,83.7,89
7/31 19:30,93.9,83.5,89.1
7/31 19:45,92.3,83.1,89.3
7/31 20:00,92.5,82.5,89.3
7/31 20:15,91.4,81.8,89.1
7/31 20:30,88.3,82.6,88.8
7/31 20:45,88.3,83.2,88.2
7/31 21:00,91.3,83.5,87.5
7/31 21:15,91.9,83,87.2
7/31 21:30,92.7,83,86.8
7/31 21:45,91.5,82.7,86.7
7/31 22:00,94.2,82.6,86.4
7/31 22:15,93.9,82.5,86.2
7/31 22:30,94.3,82.6,85.9
7/31 22:45,94.8,82.3,85.8
7/31 23:00,92.9,82,85.3
7/31 23:15,92.8,81.6,85.1
7/31 23:30,92.7,81.3,84.8
7/31 23:45,92.9,81.5,84.7